TICKER_SYMBOL,OHLC_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
CPB,2025-02-03,38.6300,38.9300,38.0100,38.1300
CPB,2025-02-04,37.8920,38.0000,37.1600,37.4500
CPB,2025-02-05,37.3700,37.5500,37.0100,37.2900
CPB,2025-02-06,37.7980,37.9400,37.4350,37.4800
CPB,2025-02-07,37.6300,37.6700,37.2750,37.5300
CPB,2025-02-10,37.5300,37.5800,36.9200,37.3900
CPB,2025-02-11,37.3800,38.1100,37.1300,37.9500
CPB,2025-02-12,37.4600,38.3900,37.4550,38.0600
CPB,2025-02-13,38.1400,38.6400,38.1200,38.6100
CPB,2025-02-14,38.7800,39.1900,38.5010,38.6000
CPB,2025-02-18,38.2900,38.6000,37.9100,38.1600
CPB,2025-02-19,38.1900,38.7200,38.0200,38.6400
CPB,2025-02-20,38.5100,39.6900,38.5000,39.3400
CPB,2025-02-21,39.3400,41.0400,39.3000,40.5900
CPB,2025-02-24,40.6000,41.9800,40.3100,41.3300
CPB,2025-02-25,41.3000,42.3050,41.3000,41.6600
CPB,2025-02-26,41.2000,41.2300,39.7672,40.0400
CPB,2025-02-27,39.9300,40.0920,39.4900,39.8500
CPB,2025-02-28,40.1050,40.7900,39.7700,40.0600
CPB,2025-03-03,40.0500,41.3100,39.8300,41.2900
CPB,2025-03-04,41.4300,42.2400,40.1000,40.3300
CPB,2025-03-05,38.3600,39.8400,38.0700,39.1800
CPB,2025-03-06,39.0100,39.9650,39.0100,39.7900
CPB,2025-03-07,39.8100,43.6500,39.8100,41.8100
CPB,2025-03-10,42.2900,43.8500,41.9900,42.0400
CPB,2025-03-11,41.9900,42.2100,39.9100,39.9600
CPB,2025-03-12,39.1900,39.4300,38.2400,38.5800
CPB,2025-03-13,38.6600,39.2000,38.1400,38.4700
SJM,2025-02-03,106.2100,106.8400,104.6500,105.8800
SJM,2025-02-04,105.9400,106.2400,103.3050,104.6700
SJM,2025-02-05,104.3100,104.6500,103.4682,104.0100
SJM,2025-02-06,105.3200,105.3200,102.7950,103.2000
SJM,2025-02-07,103.7500,103.7500,102.3500,103.2800
SJM,2025-02-10,103.1700,104.2500,102.0250,103.0000
SJM,2025-02-11,102.8900,104.6200,101.7300,104.3500
SJM,2025-02-12,103.6100,104.0995,101.9500,103.8800
SJM,2025-02-13,103.8600,105.5258,103.0500,105.1700
SJM,2025-02-14,103.3100,105.1700,101.8200,102.0300
SJM,2025-02-18,100.6000,101.6100,98.7700,100.4100
SJM,2025-02-19,100.6500,103.1100,100.0500,103.0200
SJM,2025-02-20,102.9900,107.4700,102.7950,107.3000
SJM,2025-02-21,107.3700,110.8600,107.1000,110.0100
SJM,2025-02-24,109.9800,112.7300,108.9900,110.9600
SJM,2025-02-25,111.5200,112.8800,111.2100,112.4700
SJM,2025-02-26,111.9700,112.1100,108.2700,109.1600
SJM,2025-02-27,104.5650,110.8300,103.5500,109.1400
SJM,2025-02-28,110.7100,113.3850,109.4000,110.5300
SJM,2025-03-03,110.1200,113.1100,109.7700,112.0900
SJM,2025-03-04,112.7400,114.9100,109.7300,109.8400
SJM,2025-03-05,109.1300,111.2700,108.5700,109.3800
SJM,2025-03-06,109.6400,112.7000,108.6800,111.4900
SJM,2025-03-07,111.1400,120.3600,111.1400,117.3800
SJM,2025-03-10,118.0100,121.4800,116.8050,117.1000
SJM,2025-03-11,116.6400,116.9900,113.7500,114.2600
SJM,2025-03-12,111.9400,112.7650,110.3700,111.0300
SJM,2025-03-13,111.8800,113.6605,110.9801,111.7600
VDE,2025-02-03,123.4000,124.6600,122.3300,124.0900
VDE,2025-02-04,123.4200,126.9200,123.4200,126.7500
VDE,2025-02-05,126.7700,127.1967,126.0870,126.9400
VDE,2025-02-06,127.6700,127.8400,123.8500,124.5400
VDE,2025-02-07,125.0000,125.5592,124.4000,124.4600
VDE,2025-02-10,125.6900,127.5500,125.6600,127.3000
VDE,2025-02-11,128.0200,129.1400,127.1600,128.1500
VDE,2025-02-12,127.3900,127.9300,124.7800,124.9800
VDE,2025-02-13,124.8000,126.1300,124.0400,125.7900
VDE,2025-02-14,126.4900,128.0900,126.2501,126.3100
VDE,2025-02-18,126.8200,128.7800,126.1600,127.9000
VDE,2025-02-19,128.3100,130.0000,128.3100,128.7300
VDE,2025-02-20,128.7300,130.0500,128.0500,129.8500
VDE,2025-02-21,129.1600,129.3450,126.8200,127.0000
VDE,2025-02-24,127.2200,127.5900,126.1800,126.9100
VDE,2025-02-25,126.7700,127.3700,123.9500,124.9300
VDE,2025-02-26,125.2300,125.4859,123.7300,124.4600
VDE,2025-02-27,124.9100,126.2000,124.3700,124.6600
VDE,2025-02-28,124.2700,126.6500,123.5000,126.6000
VDE,2025-03-03,126.9900,127.7000,120.8300,121.8200
VDE,2025-03-04,120.0600,122.7100,118.5250,120.8500
VDE,2025-03-05,119.3700,119.6250,116.7771,119.1400
VDE,2025-03-06,118.5300,120.0200,117.6000,119.3000
VDE,2025-03-07,119.8100,122.0850,119.8100,121.2400
VDE,2025-03-10,121.5500,123.4600,120.7500,121.8100
VDE,2025-03-11,122.0900,122.9800,120.4400,121.1200
VDE,2025-03-12,121.3900,122.8100,120.8400,121.7300
VDE,2025-03-13,121.2300,122.9711,120.0900,120.8600
VHT,2025-02-03,268.6800,272.7300,268.3584,271.3800
VHT,2025-02-04,268.8500,271.2623,268.8350,270.8500
VHT,2025-02-05,271.4800,274.1900,271.4800,273.8300
VHT,2025-02-06,273.5300,273.7700,270.8500,271.3500
VHT,2025-02-07,271.5000,272.5000,269.3600,269.4100
VHT,2025-02-10,269.9500,269.9500,267.6900,268.9600
VHT,2025-02-11,268.2900,268.7900,267.3301,268.1600
VHT,2025-02-12,267.2800,269.0652,266.8907,267.9400
VHT,2025-02-13,268.5100,269.6958,266.9200,269.2500
VHT,2025-02-14,269.5400,269.8800,266.6550,266.6900
VHT,2025-02-18,265.5000,267.1100,265.5000,266.4400
VHT,2025-02-19,266.1000,269.6200,266.1000,269.6200
VHT,2025-02-20,269.1600,270.8700,269.1600,270.8700
VHT,2025-02-21,267.9900,270.0200,267.9900,268.7800
VHT,2025-02-24,269.0500,271.7300,268.2900,270.2800
VHT,2025-02-25,270.6200,272.2950,269.4400,272.0400
VHT,2025-02-26,271.2800,272.3400,269.5609,270.4500
VHT,2025-02-27,269.9100,272.1000,268.6100,268.6900
VHT,2025-02-28,268.8500,272.1000,267.3500,271.8500
VHT,2025-03-03,271.9900,273.7248,270.8800,271.8000
VHT,2025-03-04,271.7500,272.3600,269.2300,269.5600
VHT,2025-03-05,268.4600,272.7800,268.3550,272.3700
VHT,2025-03-06,270.9700,272.3200,269.2300,271.4200
VHT,2025-03-07,270.4100,273.3400,269.7800,271.5500
VHT,2025-03-10,269.3400,272.1000,267.3963,268.2700
VHT,2025-03-11,268.2700,268.6300,263.9800,265.7400
VHT,2025-03-12,265.5600,265.8400,262.5900,263.4400
VHT,2025-03-13,263.5400,264.0000,260.9400,261.6200
VNQ,2025-02-03,89.7500,90.7100,88.9200,90.3600
VNQ,2025-02-04,89.8100,90.6350,89.5000,90.4300
VNQ,2025-02-05,91.2800,91.8950,90.4700,91.7000
VNQ,2025-02-06,92.2100,92.2100,91.3400,91.9300
VNQ,2025-02-07,92.1000,92.1550,91.1000,91.6300
VNQ,2025-02-10,91.7900,91.8350,90.9000,91.5900
VNQ,2025-02-11,91.1800,92.0300,91.0900,91.9900
VNQ,2025-02-12,90.1500,91.4300,90.0110,91.1400
VNQ,2025-02-13,91.0000,92.2100,90.8100,92.0500
VNQ,2025-02-14,92.2800,92.6900,91.6100,91.6300
VNQ,2025-02-18,91.4900,92.3550,91.3700,92.0400
VNQ,2025-02-19,91.6400,92.3400,91.4500,92.1100
VNQ,2025-02-20,92.0400,92.6600,91.5900,92.5500
VNQ,2025-02-21,92.7150,92.7700,91.1033,91.6400
VNQ,2025-02-24,91.7700,92.5800,91.3650,92.0000
VNQ,2025-02-25,92.2600,93.5500,92.2600,93.1300
VNQ,2025-02-26,93.3400,93.5400,92.4200,92.7400
VNQ,2025-02-27,92.7600,93.6600,92.6100,93.1100
VNQ,2025-02-28,93.5300,93.9400,92.8200,93.9000
VNQ,2025-03-03,94.0350,94.9500,93.8000,94.3400
VNQ,2025-03-04,94.3300,94.9000,93.1200,93.2500
VNQ,2025-03-05,92.6800,94.4600,92.4850,94.2900
VNQ,2025-03-06,93.3400,93.6200,91.6400,91.8700
VNQ,2025-03-07,91.9000,92.8400,91.3100,92.4200
VNQ,2025-03-10,92.3200,93.3200,91.0300,91.5300
VNQ,2025-03-11,91.5300,92.0000,89.9100,90.4600
VNQ,2025-03-12,90.6100,90.9600,89.7600,90.1800
VNQ,2025-03-13,90.1800,90.8000,88.2894,88.4000
